S.NO,Localities,Addresses,PointofContact,ChargingSlots
410,Cambria Hotel & Suites Plano - Legacy,"7500 Parkwood BlvdPlano, TX 75024","Phone (972) 473-9010

                                                   ","Charging
2 Tesla Connectors"
411,Cambria Pines Lodge,"2905 Burton DrCambria, CA 93428","Phone (805) 927-4200

                                                   ","Charging
2 Tesla Connectors"
412,Cambria Suites Fort Collins,"2921 E Harmony RdFort Collins, Colorado 80529","Phone (303) 576-9600

                                                   ","Charging
2 Tesla Connectors"
413,Camden Maine Stay Inn,"22 High StCamden, ME 04843","Phone (207) 236-9636

                                                   ","Charging
1 Tesla Connector"
414,Campus Center Public Parking Deck,"509  E Healey StChampaign, IL 61820","Phone (217) 359-8058

                                                   ","Charging
4 Tesla Connectors"
415,Canaan Valley Resort State Park,"230 Main Lodge RdDavis, West Virginia 26260","Phone (304) 866-4121

                                                   ","Charging
3 Tesla Connectors"
416,Canal Street Inn,"3620 Canal StNew Orleans, Louisiana 70119","Phone (504) 483-3033

                                                   ","Charging
1 Tesla Connector"
417,Candlelight Inn Napa Valley,"1045 Easum DrNapa, CA 94558","Phone (707) 257-3717

                                                   ","Charging
1 Tesla Connector"
418,Candlewood Suites Boise - Town Square,"700 N Cole RdBoise, ID 83704","Phone (208) 322-4300

                                                   ","Charging
2 Tesla Connectors"
419,Candlewood Suites Conway,"2360  Sanders RdConway, Arkansas 72032","Phone (501) 329-8551

                                                   ","Charging
4 Tesla Connectors"
420,Candlewood Suites Corpus Christi,"9225 S Padre Island DrCorpus Christi, Texas 78418","Phone (361) 937-8888

                                                   ","Charging
2 Tesla Connectors"
421,Candlewood Suites Grove City - Outlet Center,"37 Holiday BlvdMercer, Pennsylvania 16137","Phone (724) 748-6900

                                                   ","Charging
2 Tesla Connectors"
422,Candlewood Suites Joplin,"3512 S Rangeline RdJoplin, MO 64804","Phone (417) 623-9595

                                                   ","Charging
2 Tesla Connectors"
423,Candlewood Suites Lake Charles South,"1105  W Prien Lake RdLake Charles, Louisiana 70601","Phone (337) 478-8008

                                                   ","Charging
2 Tesla Connectors"
424,Candlewood Suites Meridian,"Meridian, ID 83642","Phone (208) 888-5121

                                                   ","Charging
2 Tesla Connectors"
425,Candlewood Suites Richmond North-Glen Allen,"10609 Telegraph RdGlen Allen, Virginia 23059","Phone (804) 262-2240

                                                   ","Charging
2 Tesla Connectors"
426,Candlewood Suites San Antonio Lackland AFB Area,"6439 Hwy 90 WSan Antonio, Texas 78227","Phone (210) 674-1512

                                                   ","Charging
2 Tesla Connectors"
427,Candlewood Suites Sayre,"2775 Elmira StSayre, PA 18840","Phone (570) 888-0700

                                                   ","Charging
2 Tesla Connectors"
428,Candlewood Suites Wake Forest Raleigh Area,"12050 Retail DrWake Forest, North Carolina 27587","Phone (919) 554-6901

                                                   ","Charging
2 Tesla Connectors"
429,Candlewood Suites Warner Robins/Robins AFB,"110  Willie Lee PkwyWarner Robins, Georgia 31088","Phone (478) 333-6850

                                                   ","Charging
4 Tesla Connectors"
430,Cannella,"1113 Hwy 90Bay Saint Louis, Mississippi 39520","Phone (228) 467-4110

                                                   ","Charging
2 Tesla Connectors"
431,Cannon Beach Hotel,"1116 S Hemlock StCannon Beach, OR 97110","Phone (503) 436-1392

                                                   ","Charging
1 Tesla Connector"
432,Canton Harvester Inn,"150 N Main StCanton, IL 61520","Phone (309) 357-5820

                                                   ","Charging
1 Tesla Connector"
433,Canyon Country Lodge,"760 E Hwy 12Escalante, Utah 84726","Phone (435) 826-4545

                                                   ","Charging
4 Tesla Connectors"
434,"Canyon Inn, McCormick's Creek State Park","250 McCormick Creek Park RdSpencer, Indiana 47460","Phone (812) 829-4881

                                                   ","Charging
3 Tesla Connectors"
435,Canyon Villa Bed & Breakfast Inn of Sedona,"40 Canyon Circle DrSedona, AZ 86351","Phone (928) 284-1226

                                                   ","Charging
1 Tesla Connector"
436,Canyons Historic Restaurant and Bar,"8960 Valley Blvd. Hwy 321Blowing Rock, NC 28605","Phone (828) 295-7661

                                                   ","Charging
2 Tesla Connectors"
437,Cape Cod Cottages,"4150 SW Pacific Coast HwyWaldport, OR 97394","Phone (503) 345-9399

                                                   ","Charging
2 Tesla Connectors"
438,"Capella Washington, D.C.","1050 31st St NWWashington, DC 20007","Phone (202) 617-2400

                                                   ","Charging
2 Tesla Connectors"
439,Capitol District Parking Garage,"325 N 12th StOmaha, Nebraska 68102","Phone (402) 345-7122

                                                   ","Charging
2 Tesla Connectors"
440,Captain Freeman Inn,"15 Breakwater RdBrewster, Massachusetts 02631","Phone (508) 896-7481

                                                   ","Charging
1 Tesla Connector"
441,"Captain Jefferds Inn, a Select Registry Property","5 Pearl StKennebunkport, ME 04046","Phone (207) 967-2311

                                                   ","Charging
1 Tesla Connector"
442,"Captain Lord Mansion, a Select Registry Property","6 Pleasant StKennebunkport, ME 04046","Phone (207) 967-3141

                                                   ","Charging
1 Tesla Connector"
443,Car Craft,"47 Caprice DrChesterfield, MO 63005","Phone (636) 534-7000

                                                   ","Charging
2 Tesla Connectors"
444,Carillon Miami Wellness Resort,"6801  Collins AveMiami Beach, Florida 33141","Phone (866) 800-3858

                                                   ","Charging
3 Tesla Connectors"
445,"Carlisle House Bed & Breakfast, a Select Registry Property","148 S Hanover StCarlisle, PA 17013","Phone (717) 249-0350

                                                   ","Charging
1 Tesla Connector"
446,Carmel Country Inn,"Dolores St & Third AveCarmel by the Sea, California 93921","Phone (831) 625-3263

                                                   ","Charging
1 Tesla Connector"
447,Carmel Mission Inn,"3665 Rio RdCarmel, CA 93923","Phone (831) 624-1841

                                                   ","Charging
2 Tesla Connectors"
448,Carmel Valley Ranch,"1 Old Ranch RdCarmel, CA 93923","Phone (855) 687-7262

                                                   ","Charging
2 Tesla Connectors"
449,Carolina Colours Town Centre,"2032 Waterscape WyNew Bern, North Carolina 28562","Phone (910) 239-5580

                                                   ","Charging
2 Tesla Connectors"
450,Carr Manor,"350 E Carr AveCripple Creek, CO 80813","Phone (719) 689-3709

                                                   ","Charging
1 Tesla Connector"
451,"Carson Ridge Luxury Cabins, a Select Registry Property","1261 Wind River RdCarson, Washington 98610","Phone (509) 427-7777

                                                   ","Charging
1 Tesla Connector"
452,"Carter House Inns and Restaurant 301, a Select Registry Property","301 L StEureka, CA 95501","Phone (800) 404-1390

                                                   ","Charging
1 Tesla Connector"
453,Carteret Crossing Shopping Center,"313 WB McLean DrCape Carteret, North Carolina 28584","Phone (910) 239-5580

                                                   ","Charging
2 Tesla Connectors"
454,Casa Blanca Inn,"505 E La Plata StFarmington, NM 87401","Phone (800) 550-6503

                                                   ","Charging
2 Tesla Connectors"
455,Casa Grandview Historic Luxury Inn Cottages and Suites,"1410 Georgia AveWest Palm Beach, FL 33401","Phone (561) 655-8932

                                                   ","Charging
2 Tesla Connectors"
456,Casa Madrona,"801 BridgewaySausalito, California 94965","Phone (800) 288-0502

                                                   ","Charging
1 Tesla Connector"
457,Casa Monica Resort & Spa,"95 Cordova StSt Augustine, Florida 32084","Phone (904) 827-1888

                                                   ","Charging
1 Tesla Connector"
458,Casa Morada Hotel,"136 Madeira RdIslamorada, Florida 33036","Phone (305) 664-0044

                                                   ","Charging
1 Tesla Connector"
459,"Casa Sedona Inn, a Select Registry Property","55 Hozoni DrSedona, AZ 86336","Phone (928) 282-2938

                                                   ","Charging
1 Tesla Connector"
460,Casa! Ristorante,"7545 W Jefferson BlvdFort Wayne, Indiana 46804","Phone (260) 436-2272

                                                   ","Charging
2 Tesla Connectors"
461,Casino M8trix,"1887 Matrix BlvdSan Jose, California 95110","Phone (408) 244-3333

                                                   ","Charging
3 Tesla Connectors"
462,Cass Winery,"7350 Linne RdPaso Robles, CA 93446","Phone (805) 239-1730

                                                   ","Charging
2 Tesla Connectors"
463,Castello di Amorosa,"4045 N St Helena HwyCalistoga, California 94515","Phone (707) 967-6272

                                                   ","Charging
2 Tesla Connectors"
464,Cathedral City Public Parking,"68500 Ave Lalo GuerreroCathedral City, California 92234","Phone (760) 770-0340

                                                   ","Charging
2 Tesla Connectors"
465,Cavallo Point Lodge,"601 Murray CirSausalito, CA 94965","Phone (415) 339-4700

                                                   ","Charging
2 Tesla Connectors"
466,Cave B Estate Winery & Resort,"344 Silica Rd NWQuincy, WA 98848","Phone (509) 787-8000

                                                   ","Charging
2 Tesla Connectors"
467,Cazbar,"316 N Charles StBaltimore, MD 21201","Phone (410) 528-1222

                                                   ","Charging
1 Tesla Connector"
468,Cedar Creek Brewery,"336 E Cedar Creek PkwySeven Points, Texas 75143","Phone (903) 432-2337

                                                   ","Charging
2 Tesla Connectors"
469,Cedar Glen Lodge,"6589 N Lake BlvdTahoe Vista, CA 96148","Phone (530) 546-4281

                                                   ","Charging
1 Tesla Connector"
470,Cedar House Sport Hotel,"10918 Brockway RdTruckee, CA 96161","Phone (530) 582-5655

                                                   ","Charging
1 Tesla Connector"
471,Cedar Lakes Estate,"1 Team USA WyPort Jervis, New York 12771","Phone (845) 533-3328

                                                   ","Charging
2 Tesla Connectors"
472,Cedar Lodge and Settlement,"E11232 Hillside DrWisconsin Dells, WI 53965","Phone (608) 253-6080

                                                   ","Charging
2 Tesla Connectors"
473,Cedarbrook Lodge,"18525 36th Ave SSeattle, WA 98188","Phone (206) 901-9268

                                                   ","Charging
1 Tesla Connector"
474,Cedartown Museum of Coca-Cola Memorabilia,"209 Main StCedartown, Georgia 30125","Phone (678) 901-0245

                                                   ","Charging
8 Tesla Connectors"
475,Centennial Park District Public Parking - 9th Level,"275 Baker StAtlanta, Georgia 30313","Phone (404) 658-1877

                                                   ","Charging
3 Tesla Connectors"
476,Center Street Parking Garage,"235  E Center StAnaheim, California 92805","Phone (000) 000-0000

                                                   ","Charging
3 Tesla Connectors"
477,Central Parking 200 Chambers,"200 Chambers StNew York, New York 10007","Phone (800) 836-6666

                                                   ","Charging
2 Tesla Connectors"
478,Century Casino Cripple Creek,"200 E Bennett AveCripple Creek, CO 80813","Phone (719) 689-0333

                                                   ","Charging
1 Tesla Connector"
479,Ceviche's,"7210  Wrightsville AveWilmington, North Carolina 28403","Phone (910) 256-3131

                                                   ","Charging
1 Tesla Connector"
480,Chalet View Lodge,"72056 Hwy 70Graeagle, California 96103","Phone (530) 832-5528

                                                   ","Charging
3 Tesla Connectors"
481,Chaminade Resort & Spa,"1 Chaminade LnSanta Cruz, California 95065","Phone (831) 475-5600

                                                   ","Charging
6 Tesla Connectors"
482,Champion Parking 113 LLC,"400 W 113th StNew York, New York 10025","Phone (212) 663-0113

                                                   ","Charging
2 Tesla Connectors"
483,Champion Parking 230 W 55th Street,"230 W 55th StNew York, NY 10019","Phone (646) 402-6984

                                                   ","Charging
2 Tesla Connectors"
484,Champion Parking 60 E 8th,"60 E 8th StNew York, NY 10003","Phone (212) 473-9061

                                                   ","Charging
2 Tesla Connectors"
485,Champion Parking 60 East End Avenue,"60 East End AveNew York, NY 10028","Phone (212) 308-5959

                                                   ","Charging
2 Tesla Connectors"
486,Champion Parking 74 LLC,"2109  BroadwayNew York, New York 10023","Phone (212) 874-9315

                                                   ","Charging
2 Tesla Connectors"
487,Champion Parking 90 LLC,"60 E 90th StNew York, New York 10028","Phone (212) 828-8282

                                                   ","Charging
2 Tesla Connectors"
488,Champion Parking E 16th Street,"New York, NY 10003","Phone (212) 358-1476

                                                   ","Charging
2 Tesla Connectors"
489,Champion Parking W 53rd Street,"159 W 53rd StNew York, NY 10019","Phone (212) 245-1299

                                                   ","Charging
2 Tesla Connectors"
490,Champion Parking W 57th Street,"320 W 57th StNew York, NY 10019","Phone (212) 308-5959

                                                   ","Charging
2 Tesla Connectors"
491,Champion Parking W 76th Street,"205 W 76th StNew York, NY 10023","Phone (212) 874-7600

                                                   ","Charging
2 Tesla Connectors"
492,Chanceford Hall Bed & Breakfast,"209 W Federal StSnow Hill, MD 21863","Phone (410) 632-2900

                                                   ","Charging
1 Tesla Connector"
493,Chanticleer Guest House,"4072 Cherry RdSturgeon Bay, Wisconsin 54235","Phone (866) 682-0384

                                                   ","Charging
1 Tesla Connector"
494,"Chanticleer Inn Bed & Breakfast, a Select Registry Property","Lookout Mountain, GA 30750","Phone (706) 820-2002

                                                   ","Charging
1 Tesla Connector"
495,Charles Krug Winery,"2800 Main StSt Helena, CA 94574","Phone (707) 967-2200

                                                   ","Charging
1 Tesla Connector"
496,Chase International,"190 U.S. Highway 50Zephyr Cove, NV 89448","Phone (775) 588-6130

                                                   ","Charging
1 Tesla Connector"
497,Chase International South Lake Tahoe,"989 Tahoe Keys BlvdSouth Lake Tahoe, CA 96150","Phone (530) 541-2200

                                                   ","Charging
1 Tesla Connector"
498,Chateau de Vie,"1220 N Kyrene RdChandler, Arizona 85226","Phone (480) 216-8192

                                                   ","Charging
2 Tesla Connectors"
499,Chateau Diana,"6195 Dry Creek RdHealdsburg, CA 95448","Phone (707) 433-6993

                                                   ","Charging
2 Tesla Connectors"
500,Chateau du Sureau,"48688 Victoria LnOakhurst, CA 93644","Phone (559) 683-6860

                                                   ","Charging
2 Tesla Connectors"
501,Chateau Elan Hotel & Conference Center,"150 Midway DrSebring, Florida 33870","Phone (863) 655-7200

                                                   ","Charging
2 Tesla Connectors"
502,Chateau Elan Winery & Resort,"100 Rue Charlemagne DrBraselton, GA 30517","Phone (678) 425-0900

                                                   ","Charging
6 Tesla Connectors"
503,Chateau Margene,"4315 La Panza RdCreston, California 93432","Phone (805) 238-2321

                                                   ","Charging
2 Tesla Connectors"
504,Chateau Marmont,"8221 Sunset BlvdLos Angeles, California 90046","Phone (323) 656-1010

                                                   ","Charging
2 Tesla Connectors"
505,Chateau Montelena Winery,"1429 Tubbs LnCalistoga, California 94515","Phone (707) 942-5105

                                                   ","Charging
3 Tesla Connectors"
506,Cheddar's Restaurant - Brunswick,"551 Canal RdBrunswick, Georgia 31525","Phone (912) 275-7384

                                                   ","Charging
2 Tesla Connectors"
507,Cheeca Lodge & Spa,"81801 Overseas HwyIslamorada, FL 33036","Phone (844) 993-9713

                                                   ","Charging
4 Tesla Connectors"
508,Chelnik Parking NYC 880 5th,"880 5th AveNew York, NY 10021","Phone (212) 988-9130

                                                   ","Charging
2 Tesla Connectors"
509,Cherokee Welcome Center,"498 Tsali BlvdCherokee, North Carolina 28719","Phone (800) 438-1601

                                                   ","Charging
1 Tesla Connector"
510,"Chesterfield Inn, a Select Registry Property","20 Cross RdChesterfield, NH 03466","Phone (603) 256-3211

                                                   ","Charging
1 Tesla Connector"
511,Chestnut Hill Hotel,"8229 Germantown AvePhiladelphia, PA 19118","Phone (215) 242-5905

                                                   ","Charging
1 Tesla Connector"
512,Chestnut Mountain Resort,"8700 W Chestnut Mountain RdGalena, IL 61036","Phone (800) 397-1320

                                                   ","Charging
1 Tesla Connector"
513,Chetola Resort at Blowing Rock,"185 Chetola Lake DrBlowing Rock, North Carolina 28605","Phone (828) 295-5500

                                                   ","Charging
2 Tesla Connectors"
514,Chewonki Foundation,"Wiscasset, ME 04578","Phone (207) 882-7323

                                                   ","Charging
1 Tesla Connector"
515,Chicken Ranch Casino,"16929 Chicken Ranch RdJamestown, California 95327","Phone (209) 984-3000

                                                   ","Charging
3 Tesla Connectors"
516,Chief Logan Lodge,"1000  Conference Center DrLogan, West Virginia 25601","Phone (304) 655-6100

                                                   ","Charging
3 Tesla Connectors"
517,Chip's Family Restaurant,"321 Boston Post RdOrange, CT 06477","Phone (203) 795-5065

                                                   ","Charging
1 Tesla Connector"
518,"Christopher Place Resort, a Select Registry Property","1500 Pinnacles WayNewport, TN 37821","Phone (423) 623-6555

                                                   ","Charging
1 Tesla Connector"
519,Chukchansi Crossing Fuel Station,"711 Lucky LnCoarsegold, California 93614","Phone (866) 794-6946

                                                   ","Charging
2 Tesla Connectors"
520,"Churchill Manor, a Select Registry Property","485 Brown StNapa, California 94559","Phone (707) 253-7733

                                                   ","Charging
1 Tesla Connector"
521,Cinnamon Shore,"5009 TX-361Port Aransas, TX 78373","Phone (888) 893-0658

                                                   ","Charging
4 Tesla Connectors"
522,City of Coral Springs,"2501 Coral Springs DrCoral Springs, Florida 33040","Phone (954) 345-2200

                                                   ","Charging
1 Tesla Connector"
523,City of Cripple Creek Parking Lot,"350 E Bennett AveCripple Creek, CO 80813","Phone (719) 689-2502

                                                   ","Charging
1 Tesla Connector"
524,City of Hartsville East College Ave. Parking Lots,"119  E College AveHartsville, South Carolina 29550","Phone (843) 917-0602

                                                   ","Charging
2 Tesla Connectors"
525,City of La Quinta,"78495 Calle TampicoLa Quinta, California 92253","Phone (760) 777-7000

                                                   ","Charging
10 Tesla Connectors"
526,City of Las Cruces - Downtown Plaza,"100 N Main StLas Cruces, NM 88011","Phone (575) 541-2000

                                                   ","Charging
1 Tesla Connector"
527,City of Milwaukie,"1950 SE Jackson StMilwaukie, Oregon 97222","Phone (503) 786-7555

                                                   ","Charging
1 Tesla Connector"
528,City of Naples - North Garage,"400 8th St SNaples, Florida 34102","Phone (239) 262-2324

                                                   ","Charging
1 Tesla Connector"
529,City of Naples - South Garage,"801 8th St SNaples, Florida 34102","Phone (239) 262-2324

                                                   ","Charging
1 Tesla Connector"
530,City of Red Lodge,"305 N Oakes AveRed Lodge, MT 59068","Phone (406) 446-1606

                                                   ","Charging
2 Tesla Connectors"
531,City Parking E 61st Street,"425 E 61st StNew York, New York 10065","Phone (212) 219-3413

                                                   ","Charging
2 Tesla Connectors"
532,City Parking Garment One Garage,"155 E 34th StNew York, New York 10016","Phone (212) 683-2928

                                                    Roadside Assistance 01 800 228 8145","Charging
2 Tesla Connectors"
533,City Parking Linc Garage,"62 Northside PiersBrooklyn, New York 11249","Phone (718) 963-7048

                                                   ","Charging
2 Tesla Connectors"
534,City Parking RL Mercer Street,"40  Mercer StNew York, New York 10025","Phone (212) 219-3413

                                                   ","Charging
2 Tesla Connectors"
535,CityPlace,"700 S Rosemary AveWest Palm Beach, Florida 33401","Phone (561) 366-1000

                                                   ","Charging
6 Tesla Connectors"
536,CityWalk at Universal Orlando Resort,"6300 Universal BlvdOrlando, FL 32819","Phone (407) 363-8000

                                                   ","Charging
2 Tesla Connectors"
537,Claiborne House Bed & Breakfast,"185 Claiborne AveRocky Mt, VA 24151","Phone (540) 483-4616

                                                   ","Charging
1 Tesla Connector"
538,"Claremont Club & Spa, A Fairmont Hotel","41 Tunnel RdBerkeley, California 94705","Phone (510) 843-3000

                                                   ","Charging
1 Tesla Connector"
539,Claremont Inn & Winery,"800 Claremont StStratton, Colorado 80836","Phone (719) 348-5125

                                                   ","Charging
2 Tesla Connectors"
540,Clarion Hotel & Conference Center Shepherdstown,"233 Lowe DrShepherdstown, West Virginia 25443","Phone (304) 876-7000

                                                   ","Charging
2 Tesla Connectors"
541,Clarion Inn - River Riders Family Adventure Resort,"4328 William L Wilson FwyHarpers Ferry, West Virginia 25424","Phone (304) 535-6302

                                                   ","Charging
2 Tesla Connectors"
542,Clarion Inn Elmhurst - Oakbrook,"933 S Riverside DrElmhurst, Illinois 60126","Phone (630) 279-0700

                                                   ","Charging
2 Tesla Connectors"
543,Clay Brook Hotel & Residences at Sugarbush Resort,"102 Forest DrWarren, VT 05674","Phone (802) 583-6822

                                                   ","Charging
2 Tesla Connectors"
544,Clay Coyote Gallery & Pottery,"17614 240th StHutchinson, Minnesota 55350","Phone (320) 587-2599

                                                   ","Charging
5 Tesla Connectors"
545,Cliff Dwellers Lodge,"Mile Post 547 N Hwy 89AMarble Canyon, AZ 86036","Phone (928) 355-2261

                                                   ","Charging
2 Tesla Connectors"
546,Cliff Dwellers Resort,"3540 N Duluth AveSturgeon Bay, Wisconsin 54235","Phone (920) 333-0345

                                                   ","Charging
1 Tesla Connector"
547,Cliff House Resort and Spa,"591 Shore RdOgunquit, Maine 03902","Phone (207) 361-1000

                                                   ","Charging
3 Tesla Connectors"
548,Cliffrose Lodge & Gardens,"281 Zion Park BlvdSpringdale, UT 84767","Phone (800) 243-8824

                                                   ","Charging
2 Tesla Connectors"
549,Cliffview Resort and Red River Gorge Zipline,"455 Cliffview RdCampton, Kentucky 41301","Phone (606) 668-6222

                                                   ","Charging
3 Tesla Connectors"
550,Clos Solene Winery/ Aaron Winery,"3050 Limestone WayPaso Robles, CA 93446","Phone (805) 369-2036

                                                   ","Charging
1 Tesla Connector"
551,Coach Light Inn Brenham,"2242 S Market StBrenham, Texas 77833","Phone (979) 836-5657

                                                   ","Charging
2 Tesla Connectors"
552,Coco's Bakery Restaurant,"360 W Forest Meadows StFlagstaff, Arizona 86001","Phone (928) 774-8886

                                                   ","Charging
2 Tesla Connectors"
553,Cocoa Cottage Bed and Breakfast,"223 S Mears AveWhitehall, Michigan 49461","Phone (231) 893-0674

                                                   ","Charging
2 Tesla Connectors"
554,Cocoon Coffee House,"8 Old Route 6Hawley, PA 18428","Phone (570) 226-6130

                                                   ","Charging
1 Tesla Connector"
555,Coeur D' Alene Resort,"115 S 2nd StCoeur d'Alene, ID 83814","Phone (208) 209-5031

                                                   ","Charging
2 Tesla Connectors"
556,"Colby Hill Inn, a Select Registry Property","33 The Oaks StHenniker, NH 03242","Phone (800) 531-0330

                                                   ","Charging
1 Tesla Connector"
557,"Colette's Bed and Breakfast, a Select Registry Property","339 Finn Hall RdPort Angeles, WA 98362","Phone (360) 457-9197

                                                   ","Charging
1 Tesla Connector"
558,Colony Palms Hotel,"572 N Indian Canyon DrPalm Springs, CA 92262","Phone (760) 969-1800

                                                   ","Charging
2 Tesla Connectors"
559,Colorado Belle Hotel and Casino,"2100 S Casino DrLaughlin, NV 89029","Phone (866) 352-3553

                                                   ","Charging
2 Tesla Connectors"
560,Columbia Cliffs Villas,"3880 State Frontage RdHood River, OR 97031","Phone (866) 912-8366

                                                   ","Charging
2 Tesla Connectors"
561,Columbia Inn Restaurant,"29 Main RdMontville, NJ 07045","Phone (973) 268-1300

                                                   ","Charging
1 Tesla Connector"
562,Columbia Restaurant,"2117 E 7th AveTampa, Florida 33605","Phone (904) 824-3341

                                                   ","Charging
2 Tesla Connectors"
563,Columbia Restaurant,"98 St George StSt Augustine, FL 32084","Phone (813) 248-4961

                                                   ","Charging
3 Tesla Connectors"
564,Comfort Inn,"66 W Pulteney StCorning, New York 14830","Phone (607) 962-1515

                                                   ","Charging
2 Tesla Connectors"
565,Comfort Inn & Suites Branson,"5150 Gretna RdBranson, MO 65616","Phone (417) 335-4731

                                                   ","Charging
2 Tesla Connectors"
566,Comfort Inn & Suites Calallen,"3838 US Hwy 77Corpus Christi, TX 78410","Phone (361) 241-6363

                                                   ","Charging
1 Tesla Connector"
567,Comfort Inn & Suites Conway,"2370  Sanders RdConway, Arkansas 72032","Phone (501) 513-4989

                                                   ","Charging
4 Tesla Connectors"
568,Comfort Inn & Suites Custer,"339 Mt Rushmore RdCuster, SD 57730","Phone (605) 673-2331

                                                   ","Charging
1 Tesla Connector"
569,Comfort Inn & Suites Longview South - I-20,"707 N Access RdLongview, Texas 75602","Phone (623) 748-7369

                                                   ","Charging
4 Tesla Connectors"
570,Comfort Inn & Suites Valdosta,"1785 W Hill AveValdosta, Georgia 31601","Phone (229) 249-1000

                                                   ","Charging
4 Tesla Connectors"
571,Comfort Inn & Suites Victoria,"6603 NE Zac Lentz PkwyVictoria, Texas 77904","Phone (361) 894-6480

                                                   ","Charging
2 Tesla Connectors"
572,Comfort Inn & Suites Wadsworth,"5 Park Center DrWadsworth, Ohio 44281","Phone (330) 336-7692

                                                   ","Charging
2 Tesla Connectors"
573,Comfort Inn and Suites Covington,"30 Louis Prima DrCovington, Louisiana 70433","Phone (985) 809-1234

                                                   ","Charging
4 Tesla Connectors"
574,Comfort Inn Dickson,"1085 E Christi DrDickson, Tennessee","Phone (615) 740-1000

                                                   ","Charging
6 Tesla Connectors"
575,Comfort Inn International Drive,"8134 International DrOrlando, Florida 32819","Phone (407) 313-4000

                                                   ","Charging
1 Tesla Connector"
576,Comfort Inn Midtown,"2709  Sudderth DrRuidoso, New Mexico 88345","Phone (575) 257- 2770

                                                   ","Charging
2 Tesla Connectors"
577,Comfort Inn O'Hare - Convention Center,"2175 Touhy AveDes Plaines, Illinois 60018","Phone (847) 635-1300

                                                   ","Charging
1 Tesla Connector"
578,Comfort Inn Troutville - Roanoke North,"2545 Lee HwyTroutville, Virginia 24175","Phone (540) 992-5600

                                                   ","Charging
4 Tesla Connectors"
579,Comfort Inn Virginia Horse Center,"62 Comfort WyLexington, Virginia 24450","Phone (540) 463-7311

                                                   ","Charging
4 Tesla Connectors"
580,"Comfort Inn, Jacksonville","76043 Sidney PlYulee, Florida 32097","Phone (904) 225-2600

                                                   ","Charging
2 Tesla Connectors"
581,"Comfort Suites - Marshall, TX","5204 E End Blvd SMarshall, Texas 75672","Phone (903) 927-1139

                                                   ","Charging
4 Tesla Connectors"
582,Comfort Suites Alamo/Riverwalk,"505 Live Oak StSan Antonio, TX 78202","Phone (210) 227-5200

                                                   ","Charging
2 Tesla Connectors"
583,Comfort Suites At Virginia Center Commons,"10601 Telegraph RdGlen Allen, Virginia 23059","Phone (804) 262-2000

                                                   ","Charging
2 Tesla Connectors"
584,Comfort Suites Conway,"705  Museum RdConway, Arkansas 72032","Phone (501) 329-8548

                                                   ","Charging
4 Tesla Connectors"
585,Comfort Suites Mount Vernon,"404 S 44th StMt. Vernon, Illinois 62864","Phone (618) 244-2700

                                                   ","Charging
2 Tesla Connectors"
586,Comfort Suites near Rainbow Springs,"20052 Brooks StDunnellon, Florida 34432","Phone (352) 533-5234

                                                   ","Charging
2 Tesla Connectors"
587,Comfort Suites Northwest Houston at Beltway 8,"8155 N Sam Houston PkwyHouston, Texas 77064","Phone (346) 206-3300

                                                   ","Charging
2 Tesla Connectors"
588,Comfort Suites Sarasota,"5690 Honore AveSarasota, Florida 34233","Phone (941) 554-4475

                                                   ","Charging
2 Tesla Connectors"
589,Comfort Suites Southport,"4963 Southport-Supply Rd SESouthport, North Carolina 28461","Phone (910) 454-7444

                                                   ","Charging
2 Tesla Connectors"
590,Comfort Suites Starkville,"801 Russell StStarkville, Mississippi 39759","Phone (662) 324-9595

                                                   ","Charging
2 Tesla Connectors"
591,Comfort Suites Valdosta,"1332 St. Augustine RdValdosta, Georgia","Phone (229) 249-8880

                                                   ","Charging
5 Tesla Connectors"
592,Comstock Wines,"1290 Dry Creek RdHealdsburg, California 95448","Phone (707) 723-4228

                                                   ","Charging
1 Tesla Connector"
593,Congress Hall,"200 Congress PlCape May, NJ 08204","Phone (888) 944-1816

                                                   ","Charging
2 Tesla Connectors"
594,Conrad Fort Lauderdale Beach,"551 N Fort Lauderdale Beach BlvdFort Lauderdale, Florida 33304","Phone (954) 414-5100

                                                   ","Charging
3 Tesla Connectors"
595,Conservancy of Southwest Florida,"1495 Smith Preserve WyNaples, Florida 34102","Phone (239) 262-0304

                                                   ","Charging
4 Tesla Connectors"
596,Consolidated Restaurant Operations,"12200 Stemmons FwyDallas, TX 75234","Phone (972) 241-5500

                                                   ","Charging
2 Tesla Connectors"
597,Continuum,"55 Bank StWhite Plains, New York 10606","Phone (914) 368-9151

                                                   ","Charging
5 Tesla Connectors"
598,Convoy Street Parking Garage,"4609 Convoy StSan Diego, California 92111","Phone (619) 365-5562

                                                   ","Charging
1 Tesla Connector"
599,Copper Bottom Craft Distillery,"998 N Beach StHolly Hill, Florida 32117","Phone (386) 267-5104

                                                   ","Charging
3 Tesla Connectors"
600,Copper City Inn,"99 Main StBisbee, AZ 85603","Phone (520) 432-1418

                                                   ","Charging
1 Tesla Connector"
601,Corison Winery,"987 Saint Helena HwySt Helena, CA 94574","Phone (707) 963-0826

                                                   ","Charging
1 Tesla Connector"
602,Coronado Island Marriott Resort,"2000 2nd StCoronado, CA 92118","Phone (619) 435-3000

                                                   ","Charging
2 Tesla Connectors"
