,S.No,State,Locality,Directions,Assistance,No.of.Slots,lat,long,accuracy
220,220,California,Truckee Donner Pass Supercharger, 11290 Donner Pass Rd Truckee CA 96161, Roadside Assistance: (877) 798-3752,6,39.326719,-120.240258,route
221,221,California,Truckee CA Tesla Supercharger, Truckee CA ,,NA,39.3218493,-120.1621572,establishment
222,222,California,Tustin CA Tesla Supercharger, Tustin CA ,,NA,33.43722,-117.626928,establishment
223,223,California,Twentynine Palms Supercharger, 73829 Baseline Road Twentynine Palms CA 92277-4125, Roadside Assistance: (877) 798-3752,8,34.1872167,-115.9050521,route
224,224,California,Ukiah Supercharger, 250 W Clay St. Ukiah CA 95482, Roadside Assistance: (877) 798-3752,8,39.148006,-123.2085267,establishment
225,225,California,Vacaville Supercharger, 321 Nut Tree Road Vacaville CA 95687, Roadside Assistance: (877) 798-3752,16,NA,NA,NA
226,226,California,Vallejo CA Tesla Supercharger, Vallejo CA ,,NA,38.2355453,-122.2638788,establishment
227,227,California,Venice CA Tesla Supercharger, Venice CA ,,NA,NA,NA,NA
228,228,California,Ventura CA Tesla Supercharger, Ventura CA ,,NA,34.2444906,-119.1978978,establishment
229,229,California,Visalia CA Tesla Supercharger, Visalia CA ,,NA,NA,NA,NA
230,230,California,Vista CA Tesla Supercharger, Vista CA ,,NA,NA,NA,NA
231,231,California,Walnut Creek CA Tesla Supercharger, Walnut Creek CA ,,NA,37.8962706,-122.058263,car_dealer
232,232,California,Watsonville CA Tesla Supercharger, Watsonville CA ,,NA,37.0244042,-121.5653015,establishment
233,233,California,West Covina CA Tesla Supercharger, West Covina CA ,,NA,34.1137365,-117.5293784,establishment
234,234,California,Westminster CA Tesla Supercharger, Westminster CA ,,NA,33.7027789,-117.9341991,establishment
235,235,California,Westwood CA Tesla Supercharger, Westwood CA ,,NA,39.9264575,-122.1983849,establishment
236,236,California,Williams CA Tesla Supercharger, Williams CA ,,NA,NA,NA,NA
237,237,California,Woodland CA Tesla Supercharger, Woodland CA ,,NA,38.6377808,-121.4970496,establishment
238,238,California,Woodside CA Tesla Supercharger, Woodside CA ,,NA,NA,NA,NA
239,239,California,Yermo CA Supercharger, 36017 Calico Road Yermo CA 92398, Roadside Assistance: (877) 798-3752,18,NA,NA,NA
240,240,California,Yuba City CA Tesla Supercharger, Yuba City CA ,,NA,38.6377808,-121.4970496,establishment
241,241,Colorado,Alamosa CO Tesla Supercharger, Alamosa CO ,,NA,37.4694491,-105.8700214,locality
242,242,Colorado,Aspen CO Tesla Supercharger, Aspen CO ,,NA,39.1882303,-106.8192763,car_dealer
243,243,Colorado,Boulder CO Supercharger, 1710 29th Street Boulder CO 80301, Roadside Assistance: (877) 798-3752,10,40.0203087,-105.2570476,establishment
244,244,Colorado,Brush Supercharger, 1156 CO-71 Brush CO 80723-2902, Roadside Assistance: (877) 798-3752,8,40.2713833,-103.622438,establishment
245,245,Colorado,Colorado Springs Supercharger, 215 North Cascade Avenue Colorado Springs CO 80903, Roadside Assistance: (877) 798-3752,8,39.5526701,-107.3401701,establishment
246,246,Colorado,Conifer CO Tesla Supercharger, Conifer CO ,,NA,NA,NA,NA
247,247,Colorado,Denver CO Tesla Supercharger, Denver CO ,,NA,39.7169771,-104.953473,car_dealer
248,248,Colorado,Denver CO - Cherry Creek Tesla Supercharger, Denver CO ,,NA,39.7169771,-104.953473,car_dealer
249,249,Colorado,Denver CO - Tech Center Tesla Supercharger, Denver CO ,,NA,NA,NA,NA
250,250,Colorado,Denver CO Supercharger, 4310 Airport Way Denver CO 80239, Roadside Assistance: (877) 798-3752,6,39.7169771,-104.953473,car_dealer
251,251,Colorado,Estes Park CO Supercharger, 333 Wonderview Avenue Estes Park CO 80517-9665, Roadside Assistance: (877) 798-3752,7,NA,NA,NA
252,252,Colorado,Glenwood Springs CO Supercharger, 125 Wulfsohn Rd Glenwood Springs CO 81601, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
253,253,Colorado,Grand Junction CO Supercharger, 2424 U.S-6 Grand Junction CO 81505, Roadside Assistance: (877) 798-3752,6,39.0907153,-108.6042458,establishment
254,254,Colorado,Idaho Springs CO Tesla Supercharger, Idaho Springs CO ,,NA,40.0203087,-105.2570476,establishment
255,255,Colorado,Limon CO Supercharger, 2221 6th St. Limon CO 80828, Roadside Assistance: (877) 798-3752,6,39.2690403,-103.7085376,establishment
256,256,Colorado,Lone Tree CO - Park Meadows Center Drive, 8401 Park Meadows Center Drive Lone Tree CO 80124-5128, Roadside Assistance: (877) 798-3752,10,39.5604372,-104.8827463,route
257,257,Colorado,Loveland Supercharger, 4705 Clydesdale Parkway Loveland CO 80538-9347, Roadside Assistance: (877) 798-3752,10,40.4414295,-104.991125,establishment
258,258,Colorado,Montrose CO Tesla Supercharger, Montrose CO ,,NA,37.6088175,-97.3331591,establishment
259,259,Colorado,Poncha Springs CO Superchargers, 6250 US Highway 285 Poncha Springs CO 81242-0000, Roadside Assistance: (877) 798-3752,8,38.5114563,-106.076382,establishment
260,260,Colorado,Silverthorne CO Supercharger, 309 Rainbow Dr Silverthorne CO 80498, Roadside Assistance: (877) 798-3752,8,39.6314114,-106.0708633,establishment
261,261,Colorado,Steamboat Springs CO Tesla Supercharger, Steamboat Springs CO ,,NA,NA,NA,NA
262,262,Colorado,Telluride CO Tesla Supercharger, Telluride CO ,,NA,37.9374939,-107.8122852,locality
263,263,Colorado,Trinidad Supercharger, 9960 Santa Fe Trail Trinidad CO 81082, Roadside Assistance: (877) 798-3752,6,37.1340887,-104.5193449,establishment
264,264,Colorado,Walsenburg CO Tesla Supercharger, Walsenburg CO ,,NA,37.6241793,-104.7802645,locality
265,265,Colorado,Wheat Ridge CO Tesla Supercharger, Wheat Ridge CO ,,NA,39.7169771,-104.953473,car_dealer
266,266,Connecticut,Danbury CT Supercharger, 7 Backus Ave Danbury 06810-7422, Roadside Assistance: (877) 798-3752,10,41.394817,-73.4540111,locality
267,267,Connecticut,Darien CT Tesla Supercharger, Darien CT ,,NA,41.0673152,-73.5049202,establishment
268,268,Connecticut,Darien CT North Supercharger, I-95 North after exit 12 Darien CT 06820, Roadside Assistance: (877) 798-3752,4,41.0673152,-73.5049202,establishment
269,269,Connecticut,Darien CT South Supercharger, I-95 South after exit 10 Darien CT 06820, Roadside Assistance: (877) 798-3752,4,41.0673152,-73.5049202,establishment
270,270,Connecticut,Greenwich CT North Supercharger, 3000 Merritt Parkway Greenwich CT 6830, Roadside Assistance: (877) 798-3752,4,41.0405492,-73.6735405,establishment
271,271,Connecticut,Greenwich CT South Supercharger, 2000 Merritt Parkway Greenwich CT 6830, Roadside Assistance: (877) 798-3752,4,41.0405492,-73.6735405,establishment
272,272,Connecticut,Hartford CT Supercharger, 777 Main Street Hartford CT 06824-2308, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
273,273,Connecticut,Manchester CT Supercharger, 1470 Pleasant Valley Road Manchester CT 06042-8764, Roadside Assistance: (877) 798-3752,16,NA,NA,NA
274,274,Connecticut,Milford - Boston Post Road Supercharger, 1201 Boston Post Road Milford CT 6460, Roadside Assistance: (877) 798-3752,14,41.2379665,-73.0360881,establishment
275,275,Connecticut,Milford CT North Supercharger, Milford Travel Plaza Milford CT 6460, Roadside Assistance: (877) 798-3752,2,41.2458388,-73.0090613,establishment
276,276,Connecticut,Milford CT South Supercharger, Travel Plaza Milford CT 6460, Roadside Assistance: (877) 798-3752,2,41.246288,-73.0104213,establishment
277,277,Connecticut,New London CT Tesla Supercharger, New London CT ,,NA,42.2955615,-73.2393218,establishment
278,278,Connecticut,North Canaan CT Tesla Supercharger, North Canaan CT ,,NA,42.2955615,-73.2393218,establishment
279,279,Connecticut,North Stamford CT Tesla Supercharger, North Stamford CT ,,NA,NA,NA,NA
280,280,Connecticut,Old Lyme CT Tesla Supercharger, Old Lyme CT ,,NA,42.2955615,-73.2393218,establishment
281,281,Connecticut,Stamford CT Tesla Supercharger, Stamford CT ,,NA,41.0673152,-73.5049202,establishment
282,282,Connecticut,Torrington CT Tesla Supercharger, Torrington CT ,,NA,42.2955615,-73.2393218,establishment
283,283,Connecticut,Trumbull CT Tesla Supercharger, Trumbull CT ,,NA,NA,NA,NA
284,284,Connecticut,Waterbury CT Tesla Supercharger, Waterbury CT ,,NA,NA,NA,NA
285,285,Connecticut,West Hartford Supercharger, 1445 New Britain Ave. West Hartford CT 6110, Roadside Assistance: (877) 798-3752,8,41.7226914,-72.7597388,establishment
286,286,Delaware,Claymont DE Supercharger, 605 Naamans Road Claymont DE 19703, Roadside Assistance: (877) 798-3752,8,39.8006685,-75.4596404,locality
287,287,Delaware,Dover DE Tesla Supercharger, Dover DE ,,NA,NA,NA,NA
288,288,Delaware,Lewes DE Supercharger, 17663 Dartmouth Drive Lewes DE 19958-4203, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
289,289,Delaware,Newark Supercharger, 530 JFK Memorial Highway Newark DE 19725, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
290,290,District of Columbia,Columbia Heights DC Tesla Supercharger, Columbia Heights District of Columbia ,,NA,NA,NA,NA
291,291,District of Columbia,Washington NE DC Tesla Supercharger, Washington NE District of Columbia ,,NA,41.9419133,-74.0274235,establishment
292,292,District of Columbia,Washington SE DC Tesla Supercharger, Washington SE District of Columbia ,,NA,38.8999786,-77.0241836,car_dealer
293,293,District of Columbia,Washington DC Tesla Supercharger, Washington District of Columbia ,,NA,38.7857666,-77.0158114,establishment
294,294,Florida,Altamont Springs FL Tesla Supercharger, Altamont Springs FL ,,NA,44.2123338,-72.5765297,establishment
295,295,Florida,Aventura FL Supercharger, 19501 Biscayne Boulevard Aventura FL 33180, Roadside Assistance: (877) 798-3752,35,25.9581553,-80.1425097,car_dealer
296,296,Florida,Beach Park FL Tesla Supercharger, Beach Park FL ,,NA,27.8461268,-82.6781261,establishment
297,297,Florida,Boca Raton FL Tesla Supercharger, Boca Raton FL ,,NA,26.3457803,-80.0859624,establishment
298,298,Florida,Brandon FL Supercharger, 2400 W Brandon Blvd Brandon FL 33511, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
299,299,Florida,Celebration FL Tesla Supercharger, Celebration FL ,,NA,NA,NA,NA
300,300,Florida,Cocoa West FL Tesla Supercharger, Cocoa West FL ,,NA,NA,NA,NA
301,301,Florida,DeFuniak Springs Supercharger, Corner of Baldwin Ave. & 10th Street DeFuniak Springs FL 32435, Roadside Assistance: (877) 798-3752,5,30.7206306,-86.1167929,establishment
302,302,Florida,Delray Beach FL Tesla Supercharger, Delray Beach FL ,,NA,NA,NA,NA
303,303,Florida,Destin FL Tesla Supercharger, Destin FL ,,NA,30.7206306,-86.1167929,establishment
304,304,Florida,Florida City Supercharger, 33505 South Dixie Hwy Florida City FL, Roadside Assistance: (877) 798-3752,8,30.1814649,-82.67957,establishment
305,305,Florida,Fort Drum Supercharger, 184 Florida's Turnpike Okeechobee FL 34972, Roadside Assistance: (877) 798-3752,6,44.0580482,-75.7487779,locality
306,306,Florida,Fort Myers FL Tesla Supercharger, Fort Myers FL ,,NA,26.4855933,-81.7872154,establishment
307,307,Florida,Fort Myers FL Supercharger, Gulf Coast Town Center Fort Myers FL 33913, Roadside Assistance: (877) 798-3752,8,26.6080023,-81.8099388,establishment
308,308,Florida,Gainesville FL Tesla Supercharger, Gainesville FL ,,NA,29.6245236,-82.3771613,establishment
309,309,Florida,Hollywood FL Tesla Supercharger, Hollywood Florida ,,NA,26.1086188,-80.252316,establishment
310,310,Florida,Hollywood FL Tesla Supercharger, Hollywood FL ,,NA,NA,NA,NA
311,311,Florida,Jacksonville FL Tesla Supercharger, Jacksonville FL ,,NA,29.9242158,-81.4161426,establishment
312,312,Florida,Key West FL Tesla Supercharger, Key West FL ,,NA,NA,NA,NA
313,313,Florida,Lake City FL Supercharger, 2941 W US Hwy 90 Lake City FL 32055, Roadside Assistance: (877) 798-3752,6,30.1814649,-82.67957,establishment
314,314,Florida,Lakeland FL Tesla Supercharger, Lakeland FL ,,NA,27.9406603,-82.3235499,establishment
315,315,Florida,Live Oak Supercharger, 6458 US-129 Live Oak FL 32060, Roadside Assistance: (877) 798-3752,12,30.3314213,-82.9613566,establishment
316,316,Florida,Marathon Supercharger, 9400 Overseas Hwy. Marathon FL 33050, Roadside Assistance: (877) 798-3752,4,24.7260508,-81.0479638,establishment
317,317,Florida,Miami Beach FL - Bal Harbour Tesla Supercharger, Miami Beach FL ,,NA,25.7908823,-80.1335746,car_dealer
318,318,Florida,Miami Beach FL - South Beach Tesla Supercharger, Miami Beach FL ,,NA,25.7908823,-80.1335746,car_dealer
319,319,Florida,Miami FL - Coral Gables Tesla Supercharger, Miami FL ,,NA,25.73527,-80.25693,car_dealer
320,320,Florida,Miami FL - NE 41st Street Supercharger,90 NE 41st Street Miami FL 33137  ,Roadside Assistance: (877) 798-3752,14,25.8141781,-80.1934557,route
321,321,Florida,Miami FL - SW 7th Street Supercharger, 701 South Miami Avenue Miami 33130-1946, Roadside Assistance: (877) 798-3752,13,25.7655766,-80.255143,route
322,322,Florida,Miami FL - SW 8th Street Supercharger, 701 South Miami Avenue Miami FL 33130-1946, Roadside Assistance: (877) 798-3752,10,25.7646655,-80.2561318,route
323,323,Florida,Miami FL - Wynwood Tesla Supercharger, Miami FL ,,NA,26.1086188,-80.252316,establishment
324,324,Florida,Millenia FL Tesla Supercharger, Millenia FL ,,NA,28.4497786,-81.4664179,establishment
325,325,Florida,Naples Supercharger, 499 Bayfront Place Naples FL 34102-6454, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
326,326,Florida,North Naples FL Tesla Supercharger, North Naples FL ,,NA,26.1442311,-81.7893561,establishment
327,327,Florida,Ocala FL Supercharger, 4414 SW College Rd Ocala FL 34474, Roadside Assistance: (877) 798-3752,8,29.1409854,-82.1939745,establishment
328,328,Florida,Ochopee FL (Alligator Alley) Tesla Supercharger, Ochopee FL ,,NA,26.4855933,-81.7872154,establishment
329,329,Florida,Orlando FL - W. Sand Lake Rd Supercharger, 6500 West Sand Lake Road Orlando FL 32819-8902, Roadside Assistance: (877) 798-3752,8,28.4502945,-81.431853,route
330,330,Florida,Palm Coast FL Tesla Supercharger, Palm Coast FL ,,NA,NA,NA,NA
331,331,Florida,Pembroke Pines FL Tesla Supercharger, Pembroke Pines FL ,,NA,26.1086188,-80.252316,establishment
332,332,Florida,Pensacola FL Tesla Supercharger, Pensacola FL ,,NA,44.2123338,-72.5765297,establishment
333,333,Florida,Pinellas Park Supercharger, 3101 Gandy Blvd Pinellas Park 33782-6203, Roadside Assistance: (877) 798-3752,8,27.8461268,-82.6781261,establishment
334,334,Florida,Plantation Supercharger, 801 S. University Drive Plantation FL 33324, Roadside Assistance: (877) 798-3752,8,26.1086188,-80.252316,establishment
335,335,Florida,Port Orange FL Supercharger, 5302 S. Williamson Blvd Port Orange FL 32128, Roadside Assistance: (877) 798-3752,6,29.1085672,-81.0346024,establishment
336,336,Florida,Port St. Lucie FL Supercharger, 1701 NW Peacock Blvd Port St. Lucie FL 34986, Roadside Assistance: (877) 798-3752,8,27.3129865,-80.4066887,establishment
337,337,Florida,Riverside Park FL Tesla Supercharger, Riverside Park FL ,,NA,44.2123338,-72.5765297,establishment
338,338,Florida,Sarasota Supercharger, 5903 Honore Ave Sarasota FL 34238, Roadside Assistance: (877) 798-3752,20,NA,NA,NA
339,339,Florida,St. Augustine FL Supercharger, 2700 Florida 16 St. Augustine FL 32092, Roadside Assistance: (877) 798-3752,6,29.9243361,-81.4160859,establishment
340,340,Florida,Tallahassee Supercharger, 3528 Thomasville Rd Tallahassee FL 32308, Roadside Assistance: (877) 798-3752,6,30.5109641,-84.247929,establishment
341,341,Florida,Tampa FL - Clear Water Tesla Supercharger, Tampa FL ,,NA,NA,NA,NA
342,342,Florida,Tampa FL - Hyde Park Tesla Supercharger, Tampa FL ,,NA,27.9655196,-82.4021274,establishment
343,343,Florida,Tampa FL - Wesley Chapel Tesla Supercharger, Tampa FL ,,NA,28.182893,-82.3641751,locality
344,344,Florida,Tampa FL Supercharger, 2502 North 50th Street Tampa FL 33619-2742, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
345,345,Florida,Turkey Lake Supercharger, Florida Turnpike Turkey Lake FL 32835, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
346,346,Florida,Union Park FL Tesla Supercharger, Union Park FL ,,NA,NA,NA,NA
347,347,Florida,West Melbourne FL Supercharger, 206 Palm Bay Road West Melbourne FL 32904-0000 ,ide Assistance: (877) 798-3752,8,28.0370321,-80.6641578,establishment
348,348,Florida,West Palm Beach, 4651 Dyer Blvd West Palm Beach FL 33407 , Roadside Assistance: (877) 798-3752,8,NA,NA,NA
349,349,Florida,West Palm Beach FL Tesla Supercharger, West Palm Beach FL ,,NA,26.7785209,-80.1089773,car_dealer
350,350,Florida,Weston FL Tesla Supercharger, Weston FL ,,NA,26.1086188,-80.252316,establishment
351,351,Florida,Winger Garden FL Tesla Supercharger, Winger Garden FL ,,NA,NA,NA,NA
352,352,Florida,Winter Park FL Tesla Supercharger, Winter Park FL ,,NA,NA,NA,NA
353,353,Florida,Yeehaw Junction FL Tesla Supercharger, Yeehaw Junction FL ,,NA,NA,NA,NA
354,354,Florida,Alpharetta GA Tesla Supercharger, Alpharetta GA ,,NA,NA,NA,NA
355,355,Georgia,Athens GA Supercharger, 1791 Oconee Connector Athens GA 30606, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
356,356,Georgia,Atlanta Supercharger, 1380 Atlantic Drive NW Atlanta GA 30363, Roadside Assistance: (877) 798-3752,10,33.7927258,-84.3978715,establishment
357,357,Georgia,Atlanta GA Tesla Supercharger, Atlanta GA ,,NA,33.7927258,-84.3978715,establishment
358,358,Georgia,Atlanta GA - Cumberland Tesla Supercharger, Atlanta GA ,,NA,NA,NA,NA
359,359,Georgia,Atlanta-Decatur, 1580 Church St Decatur GA 30033 , Roadside Assistance: (877) 798-3752,4,NA,NA,NA
360,360,Georgia,Augusta GA Supercharger, 1069 Stevens Creek Road Augusta GA 30907, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
361,361,Georgia,Buford GA Tesla Supercharger, Buford GA ,,NA,33.7927258,-84.3978715,establishment
362,362,Georgia,College Park GA Tesla Supercharger, College Park GA ,,NA,33.7927258,-84.3978715,establishment
363,363,Georgia,Columbus GA Tesla Supercharger, Columbus GA ,,NA,32.6276348,-85.4449751,establishment
364,364,Georgia,Forest Park GA Tesla Supercharger, Forest Park GA ,,NA,33.7927258,-84.3978715,establishment
365,365,Georgia,Kingsland Supercharger, 1190 East Boone Avenue Kingsland GA 31548, Roadside Assistance: (877) 798-3752,6,30.7999563,-81.6898261,locality
366,366,Georgia,Macon Georgia Supercharger, 450 Martin Luther King Jr Blvd Macon GA 31201, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
367,367,Georgia,Madison GA Tesla Supercharger, Madison GA ,,NA,43.1266446,-89.3069064,establishment
368,368,Georgia,Metter GA Tesla Supercharger, Metter GA ,,NA,32.1358821,-81.2128235,establishment
369,369,Georgia,Sandy Springs GA Tesla Supercharger, Sandy Springs GA ,,NA,33.7927258,-84.3978715,establishment
370,370,Georgia,Savannah GA Supercharger, 400 Airways Avenue Savannah GA 31408, Roadside Assistance: (877) 798-3752,6,32.1358821,-81.2128235,establishment
371,371,Georgia,Tifton GA Supercharger, 1204 U.S. 82 Tifton GA 31794, Roadside Assistance: (877) 798-3752,8,31.4493801,-83.5325236,establishment
372,372,Hawaii,Honolulu HI Tesla Supercharger, Honolulu HI ,,NA,21.2774413,-157.8268523,car_dealer
373,373,Hawaii,Kailua HI Tesla Supercharger, Kailua HI ,,NA,44.2123338,-72.5765297,establishment
374,374,Hawaii,Maui HI Tesla Supercharger, Maui HI ,,NA,NA,NA,NA
375,375,Idaho,Boise Supercharger, 1426 South Entertainment Ave Boise ID 83709, Roadside Assistance: (877) 798-3752,8,43.5922989,-116.2794474,establishment
376,376,Idaho,Coeur d'Alene Supercharger, 3458 N Fruitland Lane Coeur d'Alene ID 83815, Roadside Assistance: (877) 798-3752,6,47.7088449,-116.7929138,establishment
377,377,Idaho,Heyburn ID Tesla Supercharger, Heyburn ID ,,NA,42.5978844,-114.4552419,establishment
378,378,Idaho,Idaho Falls Supercharger, 940 Pier View Drive Idaho Falls ID 83402, Roadside Assistance: (877) 798-3752,8,42.5978844,-114.4552419,establishment
379,379,Idaho,Mountain Home ID Tesla Supercharger, Mountain Home ID ,,NA,42.5978844,-114.4552419,establishment
380,380,Idaho,Pocatello Supercharger, 1399 Bench Road Pocatello ID 83201, Roadside Assistance: (877) 798-3752,8,42.8621042,-112.4506191,locality
381,381,Idaho,Twin Falls Supercharger, 2015 Neilsen Point Place Twin Falls ID 83301, Roadside Assistance: (877) 798-3752,8,42.5978844,-114.4552419,establishment
382,382,Illinois,Bolingbrook Supercharger, 755 E. Boughton Road Bolingbrook IL 60440-2250, Roadside Assistance: (877) 798-3752,8,41.7221714,-88.0374394,establishment
383,383,Illinois,Bridgeport IL Tesla Supercharger, Bridgeport IL ,,NA,39.246326,-94.6449396,establishment
384,384,Illinois,Champaign IL Supercharger, 2401 North Prospect Avenue Champaign IL 61822, Roadside Assistance: (877) 798-3752,8,40.1462155,-88.2596742,establishment
385,385,Illinois,Chicago IL - Lincoln Park Tesla Supercharger, Chicago IL ,,NA,41.7221714,-88.0374394,establishment
386,386,Illinois,Chicago IL - North Broadway Supercharger, 3030 North Broadway Chicago IL 60657, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
387,387,Illinois,Chicago IL - North Columbus Drive Supercharger, 225 North Columbus Drive Chicago Illinois 60601-7910, Roadside Assistance: (877) 798-3752,10,41.8879551,-87.6204787,route
388,388,Illinois,Chicago IL - South Canal Street Supercharger, 1100 South Canal Street Chicago IL 60607, Roadside Assistance: (877) 798-3752,14,NA,NA,NA
389,389,Illinois,Chicago-Highland Park, 1200 Old Skokie Valley Road Highland Park IL 60035, Roadside Assistance: (877) 798-3752,4,42.1960819,-87.806805,route
390,390,Illinois,Country Club Hills IL Supercharger, 4201 167th St. Country Club Hills IL 60478, Roadside Assistance: (877) 798-3752,8,41.5852193,-87.7213484,establishment
391,391,Illinois,Effingham Supercharger, 1200 N. Keller Drive Effingham IL 62401, Roadside Assistance: (877) 798-3752,6,39.137114,-88.563485,establishment
392,392,Illinois,Evanston IL Tesla Supercharger, Evanston IL ,,NA,42.0087097,-87.763063,establishment
393,393,Illinois,Evergreen Park IL Tesla Supercharger, Evergreen Park IL ,,NA,41.5852193,-87.7213484,establishment
394,394,Illinois,Glenview IL Supercharger, 1200 Milwaukee Avenue Glenview IL 60025, Roadside Assistance: (877) 798-3752,10,42.0697509,-87.7878408,locality
395,395,Illinois,Joliet IL Tesla Supercharger, Joliet IL ,,NA,41.7221714,-88.0374394,establishment
396,396,Illinois,Marion IL Tesla Supercharger, Marion IL ,,NA,38.3163033,-88.9559061,establishment
397,397,Illinois,Mt. Vernon Supercharger, 222 Potomac Blvd. Mt. Vernon IL 62864-6750, Roadside Assistance: (877) 798-3752,8,38.3163033,-88.9559061,establishment
398,398,Illinois,Normal IL Supercharger, 11 Uptown Circle Normal IL 61761, Roadside Assistance: (877) 798-3752,8,40.508403,-88.985013,establishment
399,399,Illinois,North Aurora Supercharger, 151 Hansen Blvd North Aurora IL 60542, Roadside Assistance: (877) 798-3752,8,41.8043747,-88.3696052,establishment
400,400,Illinois,Northbrook IL Tesla Supercharger, Northbrook IL ,,NA,42.1744101,-87.8164252,car_dealer
401,401,Illinois,Oak Brook IL Tesla Supercharger, Oak Brook IL ,,NA,41.8499572,-87.9535238,car_dealer
402,402,Illinois,Oak Park IL Tesla Supercharger, Oak Park IL ,,NA,NA,NA,NA
403,403,Illinois,Peru IL Supercharger, 1651 Midtown Road Peru IL 61354, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
404,404,Illinois,Rockford IL Supercharger, 7200 Harrison Ave Rockford IL 61112, Roadside Assistance: (877) 798-3752,8,42.2711311,-89.0939952,locality
405,405,Illinois,Rolling Meadows IL Supercharger, 1301 Meijer Drive Rolling Meadows IL 60008-4205, Roadside Assistance: (877) 798-3752,10,42.0479199,-87.9963991,establishment
406,406,Illinois,Rosemont IL Tesla Supercharger, Rosemont IL ,,NA,NA,NA,NA
407,407,Illinois,Skokie IL Supercharger, 5507 Touhy Avenue Skokie IL 60077, Roadside Assistance: (877) 798-3752,20,NA,NA,NA
408,408,Illinois,Springfield Illinois Supercharger , 3801 S. MacArthur Blvd. Springfield IL 62704, Roadside Assistance: (877) 798-3752,8,39.7817213,-89.6501481,locality
409,409,Indiana,Angola IN Supercharger, 3855 Indiana 127 Angola IN 46703, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
410,410,Indiana,Bloomington IN Tesla Supercharger, Bloomington IN ,,NA,40.508403,-88.985013,establishment
411,411,Indiana,Carmel IN Tesla Supercharger, Carmel IN ,,NA,NA,NA,NA
412,412,Indiana,Elberfeld IN Tesla Supercharger, Elberfeld IN ,,NA,NA,NA,NA
413,413,Indiana,Fishers IN Supercharger, 9 Municipal Drive Fishers 46038-1615, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
414,414,Indiana,Fort Wayne IN Supercharger, 6309 Lima Road Fort Wayne IN 46818, Roadside Assistance: (877) 798-3752,10,41.1385059,-85.1634187,establishment
415,415,Indiana,Indianapolis IN - Downtown Tesla Supercharger, Indianapolis IN ,,NA,NA,NA,NA
416,416,Indiana,Indianapolis IN Supercharger, 5120 Victory Dr Indianapolis IN 46201, Roadside Assistance: (877) 798-3752,8,39.9144874,-86.110012,car_dealer
417,417,Indiana,Lafayette IN Supercharger, 4901 State Rd. 26E Lafayette IN 47905, Roadside Assistance: (877) 798-3752,8,40.4161118,-86.8140902,establishment
418,418,Indiana,Merrillville IN Supercharger, 611 West Lincoln Highway Merrillville IN 46410, Roadside Assistance: (877) 798-3752,10,41.4686661,-87.3432935,establishment
419,419,Indiana,Mishawaka IN Supercharger, 6501 Grape Rd Mishawaka IN 46545, Roadside Assistance: (877) 798-3752,6,NA,NA,NA
420,420,Indiana,Terre Haute IN Supercharger, 5600 E. New Margaret Dr. Terre Haute IN 47803, Roadside Assistance: (877) 798-3752,8,39.4667034,-87.4139092,locality
421,421,Iowa,Altoona IA Tesla Supercharger, Altoona IA ,,NA,NA,NA,NA
422,422,Iowa,Coralville Supercharger, 1914 8th Street Coralville IA 52241, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
423,423,Iowa,Council Bluffs Supercharger, 3815 Metro Drive Council Bluffs IA 51501, Roadside Assistance: (877) 798-3752,8,41.2209073,-95.8361291,establishment
424,424,Iowa,Davenport Supercharger, 4064 E 53rd St Davenport IA 52807, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
425,425,Iowa,Dows Supercharger, 904 Cardinal Lane Dows 50071-8004, Roadside Assistance: (877) 798-3752,8,37.0488871,-94.4753951,establishment
426,426,Iowa,Dubuque IA Supercharger, 400 South Locust Street Dubuque IA 52003, Roadside Assistance: (877) 798-3752,8,42.4874455,-90.6640217,establishment
427,427,Iowa,Shelby IA Tesla Supercharger, Shelby IA ,,NA,NA,NA,NA
428,428,Iowa,Sioux City IA Tesla Supercharger, Sioux City IA ,,NA,42.4963416,-96.4049408,locality
429,429,Iowa,West Des Moines Supercharger, 1725 Jordan Creek Parkway West Des Moines IA 50266, Roadside Assistance: (877) 798-3752,8,41.5979284,-93.8075794,establishment
430,430,Kansas,Colby KS Supercharger, 700 E Horton Ave Colby KS 67701-3746, Roadside Assistance: (877) 798-3752,10,39.3613521,-101.0540591,establishment
431,431,Kansas,Goodland KS Supercharger, 2631 Enterprise Rd Goodland KS 67735, Roadside Assistance: (877) 798-3752,6,39.3262621,-101.7251171,establishment
